split,width,height,area
train,799,533,425867
train,799,514,410686
train,1024,1021,1045504
train,540,650,351000
train,800,533,426400
train,500,676,338000
train,1024,659,674816
train,1024,768,786432
train,800,527,421600
train,800,534,427200
train,1820,1024,1863680
train,800,600,480000
train,640,480,307200
train,800,450,360000
train,768,1024,786432
train,1024,683,699392
train,800,600,480000
train,799,533,425867
train,800,503,402400
train,533,800,426400
train,1024,768,786432
train,746,978,729588
train,1024,683,699392
train,1024,744,761856
train,800,533,426400
train,1024,768,786432
train,799,533,425867
train,799,369,294831
train,800,600,480000
train,640,480,307200
train,1024,678,694272
train,1023,640,654720
train,1024,683,699392
train,849,677,574773
train,799,533,425867
train,799,533,425867
train,1024,600,614400
train,799,320,255680
train,1024,768,786432
train,580,800,464000
train,1024,683,699392
train,533,799,425867
train,575,800,460000
train,799,533,425867
train,1280,960,1228800
train,530,800,424000
train,1024,710,727040
train,1024,683,699392
train,1024,571,584704
train,799,533,425867
train,799,533,425867
train,1024,683,699392
train,793,595,471835
train,800,600,480000
train,1024,1024,1048576
train,1024,768,786432
train,800,533,426400
train,799,533,425867
train,799,533,425867
train,800,437,349600
train,1024,768,786432
train,747,900,672300
train,532,800,425600
train,533,800,426400
train,640,480,307200
train,799,533,425867
train,800,600,480000
train,1024,683,699392
train,799,533,425867
train,800,533,426400
train,799,533,425867
train,1820,1024,1863680
train,800,495,396000
train,1023,682,697686
train,799,532,425068
train,800,458,366400
train,800,600,480000
train,683,1024,699392
train,800,640,512000
train,1023,682,697686
train,533,799,425867
train,600,800,480000
train,550,425,233750
train,1024,723,740352
train,1024,683,699392
train,768,1024,786432
train,1024,768,786432
train,680,1024,696320
train,1024,678,694272
train,1280,911,1166080
train,1024,731,748544
train,1023,731,747813
train,1023,677,692571
train,1024,683,699392
train,799,769,614431
train,1023,685,700755
train,800,450,360000
train,1024,698,714752
train,640,480,307200
train,800,600,480000
train,1024,683,699392
train,1023,610,624030
train,799,533,425867
train,1024,683,699392
train,800,531,424800
train,1024,765,783360
train,800,534,427200
train,1024,683,699392
train,1024,916,937984
train,799,352,281248
train,799,533,425867
train,800,468,374400
train,1024,1024,1048576
train,800,555,444000
train,799,533,425867
train,800,474,379200
train,799,476,380324
train,799,533,425867
train,800,800,640000
train,1024,683,699392
train,800,600,480000
train,800,552,441600
train,800,600,480000
train,800,533,426400
train,768,1024,786432
train,800,450,360000
train,799,533,425867
train,768,1024,786432
train,1024,683,699392
train,799,533,425867
train,3303,2193,7243479
train,683,1024,699392
train,1024,628,643072
train,799,533,425867
train,800,538,430400
train,1024,639,654336
train,1024,640,655360
train,1024,678,694272
train,1023,589,602547
train,800,534,427200
train,799,533,425867
train,1280,960,1228800
train,1024,665,680960
train,640,640,409600
train,600,800,480000
train,683,1024,699392
train,640,480,307200
train,1280,854,1093120
train,1024,683,699392
train,1024,678,694272
train,800,530,424000
train,1024,683,699392
train,1024,573,586752
train,533,800,426400
train,799,533,425867
train,534,799,426666
train,800,450,360000
train,532,799,425068
train,3872,2592,10036224
train,799,533,425867
train,800,600,480000
train,1024,768,786432
train,1024,683,699392
train,1024,543,556032
train,799,539,430661
train,900,596,536400
train,1024,767,785408
train,799,533,425867
train,533,799,425867
train,1024,546,559104
train,1000,667,667000
train,717,906,649602
train,683,1024,699392
train,1024,768,786432
train,768,968,743424
train,799,533,425867
train,1024,683,699392
train,800,534,427200
train,800,600,480000
train,799,533,425867
train,576,1024,589824
train,1023,615,629145
train,1260,900,1134000
train,480,480,230400
train,800,450,360000
train,1280,852,1090560
train,1280,960,1228800
train,800,600,480000
train,800,502,401600
train,800,775,620000
train,1024,576,589824
train,885,637,563745
train,533,799,425867
train,800,521,416800
train,799,533,425867
train,1024,683,699392
train,600,800,480000
train,799,533,425867
train,800,533,426400
train,1023,683,698709
train,1024,645,660480
train,799,533,425867
train,1024,665,680960
train,799,533,425867
train,799,533,425867
train,800,600,480000
train,763,800,610400
train,1024,683,699392
train,800,600,480000
train,799,533,425867
train,800,537,429600
train,800,600,480000
train,1024,702,718848
train,683,1024,699392
train,799,533,425867
train,1024,629,644096
train,1024,673,689152
train,1024,653,668672
train,800,531,424800
train,768,1024,786432
train,800,600,480000
train,1024,682,698368
