source,w,h,area
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
Pcolor,1140,860,980400
