width,height,area
1200,600,720000
536,356,190816
960,692,664320
800,800,640000
594,425,252450
1024,683,699392
526,425,223550
720,540,388800
768,768,589824
800,600,480000
1000,750,750000
375,500,187500
661,440,290840
402,302,121404
850,566,481100
605,454,274670
919,611,561509
728,485,353080
600,338,202800
550,367,201850
1024,680,696320
731,487,355997
1000,658,658000
1000,752,752000
1000,684,684000
728,484,352352
1000,700,700000
638,480,306240
634,991,628294
480,360,172800
910,607,552370
840,634,532560
900,675,607500
910,683,621530
1072,721,772912
760,506,384560
600,900,540000
910,661,601510
699,551,385149
900,680,612000
624,416,259584
1072,718,769696
910,558,507780
612,612,374544
633,497,314601
640,426,272640
1024,767,785408
480,270,129600
800,531,424800
500,375,187500
596,396,236016
800,814,651200
816,612,499392
460,262,120520
560,560,313600
1024,512,524288
1024,680,696320
1024,683,699392
1023,666,681318
962,638,613756
998,682,680636
900,596,536400
638,480,306240
1010,678,684780
608,342,207936
720,490,352800
462,280,129360
720,603,434160
620,380,235600
1024,683,699392
450,300,135000
602,753,453306
870,579,503730
403,600,241800
953,500,476500
427,640,273280
960,720,691200
800,828,662400
650,366,237900
1024,683,699392
1024,712,729088
858,536,459888
1000,665,665000
834,556,463704
335,500,167500
1024,657,672768
960,540,518400
600,300,180000
1000,722,722000
550,367,201850
650,436,283400
450,300,135000
416,416,173056
600,400,240000
800,480,384000
480,360,172800
667,1000,667000
800,533,426400
491,492,241572
450,451,202950
800,572,457600
1049,699,733251
574,860,493640
596,700,417200
600,397,238200
600,901,540600
1024,681,697344
900,600,540000
900,591,531900
450,300,135000
450,306,137700
800,532,425600
800,533,426400
525,403,211575
800,600,480000
395,450,177750
600,450,270000
640,467,298880
713,1024,730112
852,480,408960
520,390,202800
600,450,270000
1023,576,589248
768,768,589824
740,530,392200
634,423,268182
800,533,426400
683,1024,699392
800,524,419200
467,700,326900
709,400,283600
584,438,255792
612,407,249084
711,480,341280
333,499,166167
500,375,187500
1024,665,680960
480,360,172800
904,604,546016
968,645,624360
398,600,238800
960,540,518400
750,504,378000
564,900,507600
640,420,268800
640,420,268800
590,350,206500
670,600,402000
600,450,270000
800,510,408000
550,413,227150
1023,719,735537
750,562,421500
470,707,332290
449,629,282421
612,408,249696
640,427,273280
650,425,276250
530,738,391140
576,446,256896
683,1024,699392
1000,667,667000
1024,560,573440
470,704,330880
300,400,120000
450,301,135450
320,481,153920
450,319,143550
648,864,559872
620,380,235600
753,600,451800
750,583,437250
329,500,164500
640,480,307200
1024,576,589824
768,768,589824
512,342,175104
750,360,270000
367,550,201850
610,986,601460
1000,662,662000
650,425,276250
700,468,327600
612,612,374544
640,480,307200
800,532,425600
850,364,309400
800,531,424800
900,600,540000
800,746,596800
778,584,454352
400,559,223600
760,506,384560
570,855,487350
468,791,370188
600,400,240000
640,420,268800
900,600,540000
766,1005,769830
1024,678,694272
683,1024,699392
450,299,134550
640,427,273280
720,960,691200
700,467,326900
675,900,607500
608,342,207936
1028,675,693900
640,440,281600
640,480,307200
640,320,204800
700,525,367500
648,1000,648000
870,900,783000
640,493,315520
962,639,614718
500,364,182000
612,612,374544
525,394,206850
800,530,424000
800,498,398400
800,533,426400
640,465,297600
1023,576,589248
640,360,230400
900,597,537300
960,640,614400
608,320,194560
1024,682,698368
1072,713,764336
500,383,191500
650,424,275600
554,831,460374
750,491,368250
720,480,345600
889,667,592963
1000,670,670000
650,488,317200
608,342,207936
600,900,540000
540,302,163080
1025,625,640625
632,474,299568
460,307,141220
500,386,193000
600,900,540000
640,427,273280
640,640,409600
650,433,281450
800,600,480000
1049,699,733251
640,427,273280
612,408,249696
640,360,230400
450,302,135900
464,700,324800
520,780,405600
700,467,326900
450,299,134550
695,480,333600
604,503,303812
450,300,135000
960,540,518400
800,534,427200
450,300,135000
720,960,691200
600,758,454800
595,893,531335
424,640,271360
605,543,328515
512,372,190464
1000,706,706000
480,320,153600
1500,503,754500
730,547,399310
700,450,315000
800,560,448000
371,464,172144
900,675,607500
612,408,249696
600,450,270000
525,350,183750
512,354,181248
900,599,539100
590,393,231870
425,391,166175
500,333,166500
1024,540,552960
693,710,492030
800,531,424800
500,667,333500
